Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcHFVA	18030	12220	171	1614	46	3979	10482	0	0	0
bcHDLE	14581	10091	140	1188	38	3124	7978	0	0	0
bcEUVL	12175	8190	137	1629	96	2123	7282	0	0	0
bcHLTV	10126	6741	86	1305	19	1975	5423	0	0	0
bcCCUM	8504	5659	84	949	25	1787	4499	0	0	0
bcDSYO	6941	4410	72	766	33	1660	3288	0	0	0
bcESNX	5603	3272	59	581	77	1614	2387	0	0	0
bcFKCH	4602	2761	51	515	46	1229	2347	0	0	0
bcHDEM	3925	2038	41	425	42	1379	1657	0	0	0
bcBUNW	3435	1555	33	291	7	1549	1336	0	0	0
bcABBA	2999	1896	37	389	13	664	1398	0	0	0
bcHDXH	2650	843	23	235	9	1540	676	0	0	0
bcDCAV	2416	1436	29	323	4	624	1138	0	0	0
bcHWMM	2207	1179	17	115	19	877	837	0	0	0
bcBRWL	2049	737	16	181	9	1106	593	0	0	0
bcCSPC	1922	370	17	79	7	1449	353	0	0	0
bcAKLV	1804	932	26	185	17	644	720	0	0	0
bcHIRP	1719	652	17	160	4	886	516	0	0	0
bcHXJT	1633	281	20	82	3	1247	274	0	0	0
