TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
7875000000.0	245155359.5	232416601.0	249607638.7
7876000000.0	245160359.6	232420713.4	249613436.1
7877000000.0	245165358.8	232424824.9	249619232.6
7878000000.0	245170356.9	232428935.7	249625028.0
7879000000.0	245175354.1	232433045.6	249630822.4
7880000000.0	245180350.4	232437154.7	249636615.8
7881000000.0	245185345.6	232441262.9	249642408.1
7882000000.0	245190339.9	232445370.3	249648199.5
7883000000.0	245195333.2	232449476.9	249653989.8
7884000000.0	245200325.6	232453582.6	249659779.0
7885000000.0	245205316.9	232457687.5	249665567.3
7886000000.0	245210307.4	232461791.6	249671354.5
7887000000.0	245215296.8	232465894.8	249677140.7
7888000000.0	245220285.3	232469997.2	249682925.9
7889000000.0	245225272.8	232474098.8	249688710.1
7890000000.0	245230259.4	232478199.5	249694493.2
7891000000.0	245235245.0	232482299.4	249700275.3
7892000000.0	245240229.6	232486398.5	249706056.4
7893000000.0	245245213.2	232490496.7	249711836.5
7894000000.0	245250195.9	232494594.2	249717615.5
7895000000.0	245255177.7	232498690.7	249723393.6
7896000000.0	245260158.4	232502786.5	249729170.6
7897000000.0	245265138.2	232506881.4	249734946.6
7898000000.0	245270117.1	232510975.5	249740721.5
7899000000.0	245275094.9	232515068.8	249746495.5
7900000000.0	245280071.8	232519161.2	249752268.4
7901000000.0	245285047.8	232523252.8	249758040.3
7902000000.0	245290022.8	232527343.6	249763811.2
7903000000.0	245294996.8	232531433.5	249769581.1
7904000000.0	245299969.9	232535522.7	249775349.9
7905000000.0	245304942.0	232539611.0	249781117.7
7906000000.0	245309913.1	232543698.4	249786884.5
7907000000.0	245314883.3	232547785.1	249792650.3
7908000000.0	245319852.5	232551870.9	249798415.1
7909000000.0	245324820.7	232555955.9	249804178.9
7910000000.0	245329788.0	232560040.0	249809941.6
7911000000.0	245334754.4	232564123.3	249815703.3
7912000000.0	245339766.4	232568205.8	249821464.1
7913000000.0	245344835.2	232572287.5	249827223.8
7914000000.0	245349903.1	232576368.4	249832982.4
7915000000.0	245354970.0	232580448.4	249838740.1
7916000000.0	245360035.9	232584527.6	249844496.7
7917000000.0	245365100.8	232588606.0	249850252.4
7918000000.0	245370164.8	232592683.5	249856007.0
7919000000.0	245375227.8	232596760.2	249861760.6
7920000000.0	245380289.8	232600836.2	249867513.2
7921000000.0	245385350.9	232604911.2	249873264.8
7922000000.0	245390411.0	232608985.5	249879015.3
7923000000.0	245395470.2	232613058.9	249884764.9
7924000000.0	245400528.3	232617131.5	249890513.4
7925000000.0	245405585.6	232621203.3	249896260.9
7926000000.0	245410641.8	232625274.3	249902007.4
7927000000.0	245415697.1	232629344.4	249907752.9
