TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
4391000000.0	265074948.2	261233224.8	277373166.3
4392000000.0	265088368.7	261245891.3	277389666.8
4393000000.0	265101784.6	261258553.4	277406162.2
4394000000.0	265115195.9	261271211.2	277422652.7
4395000000.0	265128602.8	261283864.7	277439138.2
4396000000.0	265142005.1	261296513.8	277455618.7
4397000000.0	265155402.9	261309158.5	277472094.2
4398000000.0	265168796.2	261321798.9	277488564.7
4399000000.0	265182185.0	261334435.0	277505030.3
4400000000.0	265195569.3	261347066.7	277521490.9
4401000000.0	265208949.0	261359694.1	277537946.5
4402000000.0	265222324.3	261372317.1	277554397.1
4403000000.0	265235695.1	261384935.9	277570842.8
4404000000.0	265249061.3	261397550.3	277587283.5
4405000000.0	265262423.1	261410160.3	277603719.3
4406000000.0	265275780.3	261422766.1	277620150.1
4407000000.0	265289133.1	261435367.5	277636575.9
4408000000.0	265302481.4	261447964.6	277652996.8
4409000000.0	265315825.2	261460557.3	277669412.7
4410000000.0	265329164.5	261473145.8	277685823.7
4411000000.0	265342499.3	261485730.0	277702229.7
4412000000.0	265355829.6	261498309.8	277718630.8
4413000000.0	265369155.5	261510885.3	277735026.9
4414000000.0	265382476.8	261523456.5	277751418.1
4415000000.0	265395793.7	261536023.5	277767804.4
4416000000.0	265409106.1	261548586.1	277784185.7
4417000000.0	265422414.1	261561144.4	277800562.1
4418000000.0	265435717.6	261573698.4	277816933.5
4419000000.0	265449016.6	261586248.1	277833300.0
4420000000.0	265462311.1	261598793.5	277849661.6
4421000000.0	265475601.2	261611334.7	277866018.3
4422000000.0	265488886.8	261623871.5	277882370.0
4423000000.0	265502168.0	261636404.1	277898716.8
4424000000.0	265515444.7	261648932.3	277915058.7
4425000000.0	265528717.0	261661456.3	277931395.7
4426000000.0	265541984.8	261673976.0	277947727.8
4427000000.0	265555248.1	261686491.4	277964054.9
4428000000.0	265568507.0	261699002.6	277980377.2
4429000000.0	265581761.5	261711509.5	277996694.5
4430000000.0	265595011.5	261724012.1	278013006.9
4431000000.0	265608257.1	261736510.4	278029314.5
4432000000.0	265621498.3	261749004.5	278045617.1
4433000000.0	265634735.0	261761494.3	278061914.8
4434000000.0	265647967.3	261773979.8	278078207.6
4435000000.0	265661195.1	261786461.1	278094495.6
4436000000.0	265674418.5	261798938.1	278110778.6
4437000000.0	265687637.5	261811410.9	278127056.8
4438000000.0	265700852.1	261823879.4	278143330.0
4439000000.0	265714062.2	261836343.6	278159598.4
4440000000.0	265727267.9	261848803.7	278175861.9
4441000000.0	265740469.2	261861259.4	278192120.5
4442000000.0	265753666.1	261873710.9	278208374.3
4443000000.0	265766858.6	261886158.2	278224623.2
4444000000.0	265780046.7	261898601.2	278240867.1
4445000000.0	265793230.3	261911040.0	278257106.3
4446000000.0	265806409.6	261923474.6	278273340.5
4447000000.0	265819584.4	261935904.9	278289569.9
4448000000.0	265832754.9	261948331.0	278305794.4
4449000000.0	265845920.9	261960752.8	278322014.1
4450000000.0	265859082.6	261973170.4	278338228.9
4451000000.0	265872239.8	261985583.8	278354438.8
4452000000.0	265885392.7	261997993.0	278370643.9
4453000000.0	265898541.1	262010398.0	278386844.1
4454000000.0	265911685.2	262022798.7	278403039.5
